Id,Name,Description,Address,Latitude,Longitude,Created at,Updated at,Url
90,Thermondo,"Easy and transparent heating installment and readings. Bei uns erhalten Sie ein Fest­preis­angebot, statt des branchen­üblichen Kosten­vor­anschlags. So haben Sie von Anfang an Sicherheit, was die Kosten betrifft.","Brunnenstraße 153, 10115 Berlin",52.5359288,13.3973584,2021-01-22 12:02:16,2021-01-22 12:02:16,https://www.thermondo.de/
89,ENERGEDIS,"Wir befassen uns mit der Entwicklung und den Bau von neuen und modernen Industrieanlagen. Diese Industrieanlagen sind verbesserte Windkraftanlagen und sollen Bundesweit den Betrieb aufnehmen.  Mit der ""Technischen Windkraft"" ist es unser Ziel, eine Energieversorgung bereitzustellen und für Städte und Gemeinde direkt vor Ort anzubieten. ","Im Mediapark 5, 50670 Cologne",50.9486808,6.9447581,2021-01-22 11:59:21,2021-01-22 11:59:21,https://www.energedis.com/
88,SEND,"Wir wollen in einer Gesellschaft leben, in der alle Menschen vom Fortschritt profitieren. Dafür vernetzen wir den Social Entrepreneurship Sektor und geben ihm eine Stimme.","Schiffbauerdamm 40, 10117 Berlin",52.5219239,13.3770007,2021-01-22 11:57:16,2021-01-22 11:57:16,https://www.send-ev.de/
87,Qurdo,"Qurdo bietet Besuchern, Ausstellern und Veranstaltern eine Plattform bei der das Mitnehmen von Marketing-Material in physischer Form nicht mehr notwendig ist - der Umwelt zuliebe.","Chiemseering 61, 85551 Kirchheim",48.15909205,11.752461399420758,2021-01-22 11:53:39,2021-01-22 11:53:39,https://www.qurdo.com
86,nebenan.de,Nachbarschaftshilfe finden und anbieten. Verkaufen und verschenken in der Nachbarschaft. Nachbarn unsterstützen lokale Gewerbe.,"Köpenicker Straße 154, 10997 Berlin",52.5059654,13.429936,2021-01-22 11:49:25,2021-01-22 11:49:26,https://nebenan.de/
85,SUSHI,"SUSHI Bikes - The first affordable and stylish e-bike under 15 kg. With SUSHI Bikes we have developed the right e-bike for modern urbanites. It fulfils everything you expect from a contemporary bike: Design, practicability, easy handling. And at a price that lets you breathe a sigh of relief. SUSHI bikes cost only half as much as an average electric bike.","Oranienburger Straße 12, Berlin",52.523799,13.3991025,2020-12-04 09:46:22,2020-12-04 09:46:22,https://sushi-bikes.com/?lang=en
84,VanMoof,"We don’t do disposable. Fast food, fast fashion? VanMoof bikes are a different kind of fast... and they're built to last a lifetime. We're fighting the disposable economy by making our bikes tougher and smarter, to keep them on the road longer.","Oranienstraße 34, 10999 Berlin",52.5019625,13.4185606,2020-12-04 09:36:22,2020-12-04 09:36:22,https://www.vanmoof.com
83,myBoo,"We build unique bicycles out of bamboo, together with a social project in Ghana. In 80 hours of manual work, real unique items with special driving comfort are created. We use the VAT cut to pass this on to our school in Ghana. Specifically, this means: If you buy a my Boo bamboo bike or e-bike now, an additional 2.5% of the total price will be invested in equipping computers, new classrooms, support with school scholarships and much more.","Chausseestraße 25, Berlin, Germany",52.5315556,13.3820598,2020-12-04 09:31:53,2020-12-04 09:31:53,https://www.my-boo.de/
82,Avesu,"Avesu sells shoes in all possible variations, from winter boots to sporty shoes to high heels, made from recycled and natural materials (e.g. bamboo, cotton or hemp) and from plastics. Nowadays nobody has to walk around in eco-shoes if he or she wants to wear vegan shoes, because the leather-free shoes of today are breathable, animal and environmentally friendly, from fair trade and also dead chic, but without death. In addition, the leather substitutes nowadays feel and look like animal leather.","Warschauer Str. 33, 10243 Berlin",52.5079337,13.4501407,2020-12-03 17:31:30,2020-12-03 17:31:30,https://www.avesu.de/
81,Humana,"From casual wear to highly elegant, from traditional costume to totally trendy! Whether you are looking for housewares or curtains for your living room - with us you will find maximum quality at a low price! Everything are individual pieces. Coincidence when you find two identical parts.","Oranienburger Str. 87, 10178 Berlin",52.5235603,13.4001789,2020-12-03 17:01:30,2020-12-03 17:01:30,https://www.humana-second-hand.de
80, InCase,"InCase has West Coast roots; the luggage and accessories company began in San Francisco in 1997. While the brand designs and produces various bags and protection solutions (specifically for Apple devices), we are particularly fond of the eco-friendly suitcase, the EO Roller. A modern carry-on bag that’s sleek and sustainable—it’s perfect for the conscious traveler.","",,,2020-12-03 16:53:49,2020-12-03 16:53:49,https://incase.com/
79,Paravel,"Paravel is reimagining travel, and not just with its collection of chic suitcases. This NY-based brand has a forward-thinking sustainability model; to date, the company has recycled 1.5 million plastic water bottles into what’s called negative nylon.","",,,2020-12-03 16:50:13,2020-12-03 16:50:13,https://tourparavel.com/
78,The Brando,"The Brando Resort is situated on the private island of Tetiaroa and is close to being a self-sustainable and carbon-neutral hotel. This resort is also LEED platinum certified and a member of the National Geographic unique lodges of the world. All the energy it uses is renewable, being produced either through solar power or by a biofuel power station powered by coconut oil. The seawater air conditioning system harnesses the cool water found deep in the sea and pipes it to the land for use. Any rainwater that collects on the roofs of the villas is collected to supply toilets and the laundry service. Guests are also encouraged to take one of the courses on offer that teach about subjects such as eco technology, Polynesian culture, animal life and coral reefs.","Tetiaroa, Arue 98702, French Polynesia",-17.016928200000002,-149.5596577437255,2020-12-03 16:43:54,2020-12-03 16:43:54,thebrando.com
77,Urnatur Resort,"The Urnatur Resort is the ultimate eco-destination. Comprising of handcrafted huts nestled in the woods, it promotes living in harmony with nature. Everything that can be found on the campus is made from locally sourced material and traditional techniques. There is no electricity on the site, and the area is lit using lanterns, making the carbon emissions of this resort almost zero."," Sjögetorp, SE-599 91 Ödeshög, Sweden",58.1959391,14.6859323,2020-12-03 16:40:15,2020-12-03 16:40:15,https://urnatur.se/en/
